[15/Oct/2024:10:58:57 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/reports/hosts" [Client 172.18.0.1] [Length 47] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:10:59:28 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:10:59:29 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:00:00 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:00:01 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:00:32 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:00:33 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:01:05 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:01:06 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:01:37 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:01:38 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:02:09 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:02:10 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:02:41 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:02:42 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:03:13 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:03:14 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:03:45 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:03:46 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:04:17 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:04:18 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:04:49 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:04:51 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:05:22 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:05:23 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:05:54 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:05:55 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:06:26 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:06:27 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
